estudiante_id,horas_sueno_promedio,horas_estudio_semanales,nivel_estres_1_10,puntaje_rendimiento
1,6.23,10.97,4.0,85.4
2,6.16,13.14,6.2,70.8
3,7.65,6.38,4.0,86.6
4,4.67,5.96,7.0,65.6
5,7.27,13.74,7.1,94.9
6,4.08,23.02,5.8,79.8
7,6.03,20.04,7.9,88.3
8,6.0,22.08,4.7,78.7
9,7.77,14.28,7.0,22.0
10,6.28,9.89,5.8,77.8
11,5.5,16.27,3.9,80.5
12,8.09,7.22,7.2,81.6
13,8.39,2.0,9.1,75.9
14,5.4,13.7,10.0,77.5
15,7.2,16.13,6.2,85.1
16,5.72,14.82,6.9,81.3
17,6.51,18.2,9.1,85.6
18,6.63,15.06,4.1,84.2
19,4.64,13.39,8.7,67.6
20,6.38,7.78,3.0,65.5
21,4.92,11.48,3.9,69.7
22,5.01,7.27,5.6,74.4
23,5.7,10.52,5.3,71.3
24,3.72,19.61,7.7,56.1
25,4.38,12.84,4.1,77.1
26,6.6,13.51,5.8,74.6
27,7.14,9.22,5.4,90.3
28,7.41,22.41,6.3,94.1
29,5.7,4.07,7.1,59.0
30,7.21,8.29,7.7,74.4
31,8.34,15.78,6.6,100.0
32,7.83,9.0,6.7,85.3
33,4.5,8.82,6.1,65.0
34,4.03,14.03,3.2,72.5
35,6.82,14.99,2.7,88.2
36,7.92,14.73,6.6,86.0
37,6.27,8.58,3.5,82.9
38,7.54,15.01,4.6,99.6
39,6.62,7.16,6.4,76.4
40,6.59,8.33,5.4,87.7
41,6.69,8.01,4.6,86.3
42,6.59,13.31,4.4,98.5
43,5.75,10.59,6.1,78.6
44,8.7,8.19,8.6,93.8
45,7.5,12.13,2.9,78.2
46,5.57,7.91,5.6,68.3
47,5.93,9.98,7.7,75.3
48,4.95,10.75,6.5,63.9
49,6.92,9.73,4.9,81.9
50,4.44,7.98,6.1,62.3
51,5.87,7.01,6.7,64.9
52,7.27,16.39,7.8,84.7
53,7.03,3.73,3.1,76.7
54,7.05,13.19,4.4,85.6
55,4.76,8.78,6.5,65.6
56,7.29,9.17,6.8,76.3
57,6.13,4.87,6.4,65.3
58,8.02,11.88,6.7,83.3
59,5.94,9.78,7.6,74.8
60,8.48,16.24,6.8,87.4
61,6.84,9.74,10.0,81.7
62,7.27,7.64,4.8,76.2
63,5.79,7.2,5.4,83.1
64,5.77,15.83,3.4,80.8
65,5.8,14.27,7.1,73.1
66,7.6,10.6,6.4,80.7
67,5.72,18.64,5.7,84.0
68,6.15,13.07,3.9,82.2
69,7.82,10.82,9.5,75.6
70,6.97,14.07,6.8,84.1
